symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
ETHUSD,2016-09-29 00:00:00+00:00,13.05000075,13.30156126,13.05,13.29999999,2001.0,13.05000075,13.30156126,13.05,13.29999999,2001.0,0.0,1.0
ETHUSD,2016-09-30 00:00:00+00:00,13.21931569,13.35999999,13.05,13.06,2154.0,13.21931569,13.35999999,13.05,13.06,2154.0,0.0,1.0
ETHUSD,2016-10-01 00:00:00+00:00,13.15965873,13.31999999,13.07,13.21931569,3593.0,13.15965873,13.31999999,13.07,13.21931569,3593.0,0.0,1.0
ETHUSD,2016-10-02 00:00:00+00:00,13.16,13.28999999,13.10240986,13.14235004,1953.0,13.16,13.28999999,13.10240986,13.14235004,1953.0,0.0,1.0
ETHUSD,2016-10-03 00:00:00+00:00,13.48,13.48303898,13.16000001,13.16000001,3487.0,13.48,13.48303898,13.16000001,13.16000001,3487.0,0.0,1.0
ETHUSD,2016-10-04 00:00:00+00:00,13.22956031,13.52190035,13.20001653,13.38208515,4194.0,13.22956031,13.52190035,13.20001653,13.38208515,4194.0,0.0,1.0
ETHUSD,2016-10-05 00:00:00+00:00,13.023,13.41504394,13.023,13.22956806,8242.0,13.023,13.41504394,13.023,13.22956806,8242.0,0.0,1.0
ETHUSD,2016-10-06 00:00:00+00:00,12.85,13.16775838,12.66212534,13.023,5562.0,12.85,13.16775838,12.66212534,13.023,5562.0,0.0,1.0
ETHUSD,2016-10-07 00:00:00+00:00,12.74575671,13.04294083,12.59000001,12.85,3803.0,12.74575671,13.04294083,12.59000001,12.85,3803.0,0.0,1.0
ETHUSD,2016-10-08 00:00:00+00:00,12.17505406,12.74499992,12.00000001,12.74499992,11256.0,12.17505406,12.74499992,12.00000001,12.74499992,11256.0,0.0,1.0
ETHUSD,2016-10-09 00:00:00+00:00,12.11359366,12.40187009,11.9600349,12.16986276,4252.0,12.11359366,12.40187009,11.9600349,12.16986276,4252.0,0.0,1.0
ETHUSD,2016-10-10 00:00:00+00:00,11.80361287,12.11344938,11.62356902,12.11344938,5306.0,11.80361287,12.11344938,11.62356902,12.11344938,5306.0,0.0,1.0
